bhk,price,area,location,status
5.0,16000000.0,1436,Gulmohar Colony Bhopal,Ready to Move
3.0,6000000.0,2000,"Green City, Green City, Trilanga, Bhopal",Ready to Move
5.0,6500000.0,2000,Awadhpuri Bhopal,Ready to Move
4.0,8500000.0,1900,Bairagarh Bhopal,Ready to Move
4.0,7500000.0,1500,"Agrawal Sagar Landmark, Agrawal Sagar Landmark, Ayodhya Bypass Road, Bhopal",Ready to Move
3.0,4000000.0,1071,"g Globe Grand, Hoshangabad Road, Bhopal",Ready to Move
3.0,18500000.0,1765,"Shivaji Nagar, Bhopal",Ready to Move
2.0,9000000.0,768,Kotra Sultanabad Bhopal,Ready to Move
2.0,2000000.0,690,"Rajharsh Colony, Bhopal",Ready to Move
1.0,5500000.0,1000,Kolar Road Bhopal,Ready to Move
2.0,3000000.0,900,Mandideep Bhopal,Ready to Move
3.0,23000000.0,2200,Gulmohar Colony Bhopal,Ready to Move
1.0,1900000.0,560,Mandideep Bhopal,Ready to Move
5.0,7400000.0,1150,Hoshangabad Road Bhopal,Ready to Move
2.0,3300000.0,1295,"Fortune Kasturi, Fortune Kasturi, Hoshangabad Road, Bhopal",Ready to Move
3.0,6000000.0,1540,"davan Nagar, Bhopal",Ready to Move
4.0,7600000.0,1450,al Residency Bhopal,Ready to Move
3.0,10500000.0,1500,Ayodhya Bypass Bhopal,Ready to Move
5.0,15000000.0,1800,Kanha Kunj Bhopal,Ready to Move
3.0,4500000.0,1810,"Aryavrat British Park, Aryavrat British Park, Hoshangabad Road, Bhopal",Ready to Move
